NewHash(v1.58),BaseHash
E323E6755636A70E,34616828CD07F1A1
E6451C2F193342C7,961AC54BF0613F5D
62BDDA84CCCF90A9,A9C8960E8684C1B5
A7266A50941DBAEA,63F58F7C80513AAD
D8B630F464FE1D6D,98EFA132A4117BE1
7D1424753688EE7A,15D3A79D4E44B913
AFC1FBF3F6AE7B9A,F66A602F829E2A06
A829C9A2767AC8EF,B16FCE9DDC7BA182
8DD54478CFA35F08,88A741E44A2B3495
13A763A67BA2A95B,41B4893843BBDB74
1F71B978FC3CF279,1D6650420CEC9D3B
A9ADCC8D104AA552,430386FE9BF80B45
D336F8D9637B963F,8D8686B622B88120
F889BDFCC181BA9F,A3B0C41BA5CC0BB5
CDBCC1BC1184B002,353FC880830B88FA
3F6DE6DBA9A99FEA,C5F68BE9613E2D18
5E32098B63D0DAA5,7FF4944CC209192D
9D2ACCF306F3A0C5,EE6C5AD3ECE0A82D
F1354995C6159A78,57A3BDDAD8E5AA0A
54E30A65F4FA4962,83CD99A1E6061AB5
F847447D4467709D,4D79439A6B55AC67
407E03586628E458,43A66C31C68491C0
A83426F7CEDED182,8509B634FBE7DA11
89B545A74F93B1DD,238FFE5C7B0498A6
B65782D82090BB33,0A24DA3A41B718F5
73CB3406A86A3A02,10BDDBFC529428DD
0A89FDFA763DCAED,7A5487FE9FAA6B48
780A854E3A976A66,A2C6FC031D46FFF0
07141611FD632B59,F0D31AD191A74F87
E75390F3CA208D5E,89023FBBF9200E9F
A5677134B9672173,367B936610BA360C
9CD4CBF2BBE10F00,C906A7DAB05C8D2B
633F41B5CEA31CC2,BFE5756E7407064A
8AF984152F749D80,BDCD95FC216A8B3E
CCDCD6672DAE6835,38CE16C96BD11344
8FE9914D4872D601,48AF36444B965238
604161EB05F29E6D,873C9F3104101DD3
E2F2D76A4AA269FF,2BDD44CC428A7EAE
0D01086B38EC256F,B8DFD30D6973E135
9521FB98DB6DDF50,BF0FD6E56C964FCB
202B28FEABEC4034,ADF692B254977C0C
E3D651A33D0FAD23,DFB4138EEFED7B81
3410421C60BF7143,8DFCED7A656F8802
1195689FECAE45C7,B893215D8D4C015B
1A5B5BA56167D412,DF735600A4696DAF
AF62582F3EA39095,EAA0FFE120D92784
3430966AC4550BB9,75A16C3DA34F1245
82FE2343F8BDFF0B,E83D4F9BA2A38914
B02954D4F69B7A25,F87683CDF73C3F6E
C06EF1B97DD5BBE8,B70374A758007DFA
A1C6623FC1047DAD,2E0DC353342C4A6D
07B2F8356DC13CF4,4D36070FE0215186
F160248D9083ED0C,6B76DC1F3AE6E6A3
3BA0A79B368FAA6D,A1607996431332DF
C31EECA11005273C,A670B3662FAFFBD0
15616E8442D3D1E8,EEA5AC2EDA7C33E8
6E9C0F9EAC1F29FD,C8A9481A01E63C28
CDAACB23D43F080D,23703CD154E83B88
A777DF215CCFCC77,BCBF4FEF9FA5D781
ED28EE4BE581A032,0EDEC3C276198689
398C962F550CF3B4,3910051CCECDB00C
D64C90C3F536F963,C7827959479DCC78
4C6E9D70687FCDCE,E05E81A888FA63C8
01FE3D0E34407698,1F1F957154EC51DF
4536AE3DABDE0C44,1718DE8E3F2823CA
AA8C46C452582702,710311ADF0E20730
B2D5451CC5606248,AB54A438726D25D5
22553D3793725F7B,79DF7E806202CE01
3739DEED4A756E69,CFC8BE9A5E1FE575
374A31568F76EFAF,87E7F24270732CB1
61ADF697DF551DA6,C0296A2EDF545E92
993E56B8150C834F,7277F1F2E085EE74
02B222EADC9DC566,01C7B9B38428AEB6
A08CC064DAC564A5,B4C94523F023419C
229DD509EDB2FBD4,F1CA12B18AEF5298
AEBA172874A3DEFC,A8A024587329F36A
4FA753674D81BF2E,67B2C79AA7FF5738
41EC6688527C1C31,B2E0C0D6922D31F2
A4FCB26551D216B8,FC40CBF7B90CA77C
59492C1B3DB11BDE,F2BFA0430F0A0FCB
34FAA537D539192C,61E1DD6125A3EEE6
AC48FF26FAAA8DD0,083961498679DC9F
