Hash(v1207),Name
0x27666E5988D9D429,SET_CAM_FOV
0xA924028272A61364,SET_CAM_NEAR_CLIP
0x5E32817BF6302111,SET_CAM_FAR_CLIP
0x45FD891364181F9E,SET_CAM_MOTION_BLUR_STRENGTH
0xFDC0DF7F6FB0A592,ATTACH_CAM_TO_ENTITY
0xDFC1E4A44C0324CA,ATTACH_CAM_TO_PED_BONE
0x05B41DDBEB559556,DETACH_CAM
0x948B39341C3A40C2,POINT_CAM_AT_COORD
0xFC2867E6074D3A61,POINT_CAM_AT_ENTITY
0xCA1B30A3357C71F1,STOP_CAM_POINTING
0x3CB9E8BDE5E76F33,SET_CAM_AFFECTS_AIMING
0xF1F57F9D230F9CD1,ADD_CAM_SPLINE_NODE
0xF1898A68E7C15636,SET_CAM_SPLINE_PHASE
0x095EDCD24D90033A,GET_CAM_SPLINE_PHASE
0xFF6311652CA91015,SET_CAM_SPLINE_DURATION
0x84B3645618E726B0,SET_CAM_SPLINE_SMOOTHING_STYLE
0x8B15AE2987C1AC8F,SET_CAM_ACTIVE_WITH_INTERP
0x578F8F1CAA17BD2B,IS_CAM_INTERPOLATING
0xF9A7BCF5D050D4E7,SHAKE_CAM
0x2EEB402BD7320159,IS_CAM_SHAKING
0xB78CC4B4706614B0,STOP_CAM_SHAKING
0xA263DDF694D563F6,PLAY_CAM_ANIM
0xF5472C80DF2FF847,IS_SCREEN_FADED_OUT
0x37F9A426FBCF4AF2,IS_SCREEN_FADED_IN
0x02F39BEFE7B88D00,IS_SCREEN_FADING_OUT
0x0CECCC63FFA2EF24,IS_SCREEN_FADING_IN
0x6A053CF596F67DF7,DO_SCREEN_FADE_IN
0x40C719A5E410B9E4,DO_SCREEN_FADE_OUT
0xD7F4D54CF80AFA34,SET_WIDESCREEN_BORDERS
0x595320200B98596E,GET_GAMEPLAY_CAM_COORD
0x0252D2B5582957A6,GET_GAMEPLAY_CAM_ROT
0xF6A96E5ACEEC6E50,GET_GAMEPLAY_CAM_FOV
0xC4ABF536048998AA,GET_GAMEPLAY_CAM_RELATIVE_HEADING
0x5D1EB123EAC5D071,SET_GAMEPLAY_CAM_RELATIVE_HEADING
0x99AADEBBA803F827,GET_GAMEPLAY_CAM_RELATIVE_PITCH
0xFB760AF4F537B8BF,SET_GAMEPLAY_CAM_RELATIVE_PITCH
0xD9B31B4650520529,SHAKE_GAMEPLAY_CAM
0xEA4C5F4AA0A4DBEF,IS_GAMEPLAY_CAM_SHAKING
0x570E35F5C4A44838,SET_GAMEPLAY_CAM_SHAKE_AMPLITUDE
0xE0DE43D290FB65F9,STOP_GAMEPLAY_CAM_SHAKING
0x8660EA714834E412,IS_GAMEPLAY_CAM_RENDERING
0x8FE0D24FFD04D5A2,IS_GAMEPLAY_CAM_LOOKING_BEHIND
0x2E941B5FFA2989C6,IS_SPHERE_VISIBLE
0x14F3947318CA8AD2,_CLAMP_GAMEPLAY_CAM_YAW
0x326C7AA308F3DF6A,_CLAMP_GAMEPLAY_CAM_PITCH
0x2126C740A4AC370B,_ANIMATE_GAMEPLAY_CAM_ZOOM
0x9C473089A934C930,_DISABLE_FIRST_PERSON_CAM_THIS_FRAME
0x05AB44D906738426,_DISABLE_FIRST_PERSON_CAM_THIS_FRAME_2
0xA40C2F51FB589E9A,IS_FOLLOW_VEHICLE_CAM_ACTIVE
0x698F456FB909E077,IS_AIM_CAM_ACTIVE
0xF63134C54B6EC212,IS_FIRST_PERSON_AIM_CAM_ACTIVE
0xB4132CA1B0EE1365,GET_FIRST_PERSON_AIM_CAM_ZOOM_FACTOR
0x715B7F5E8BED32A2,_SET_FIRST_PERSON_CAM_PITCH_RANGE
0x5352E025EC2B416F,GET_FINAL_RENDERED_CAM_COORD
0x602685BD85DD26CA,GET_FINAL_RENDERED_CAM_ROT
0x04AF77971E508F6A,GET_FINAL_RENDERED_CAM_FOV
0xFA33B8C69A4A6A0F,SET_GAMEPLAY_COORD_HINT
0x90FB951648851733,SET_GAMEPLAY_PED_HINT
0xE2B2BB7DAC280515,SET_GAMEPLAY_VEHICLE_HINT
0xC40551D65F2BF297,SET_GAMEPLAY_OBJECT_HINT
0xD1F7F32640ADFD12,SET_GAMEPLAY_ENTITY_HINT
0x2E04AB5FEE042D4A,IS_GAMEPLAY_HINT_ACTIVE
0x1BCEC33D54CFCA8A,STOP_GAMEPLAY_HINT
0x661E58BC6F00A49A,SET_GAMEPLAY_HINT_FOV
0xDDDC54181868F81F,_SET_GAMEPLAY_HINT_ANIM_OFFSETZ
0x421192A2DA48FD01,_SET_GAMEPLAY_HINT_ANGLE
0xF86B6F93727C59C9,_SET_GAMEPLAY_HINT_ANIM_OFFSETX
0x29E74F819150CC32,_SET_GAMEPLAY_HINT_ANIM_OFFSETY
0x027CAB2C3AF27010,_FREEZE_GAMEPLAY_CAM_THIS_FRAME
0xB90411F480457A6C,SET_CINEMATIC_BUTTON_ACTIVE
0xBF7C780731AADBF8,IS_CINEMATIC_CAM_RENDERING
0xA5929C2E57AC90D1,_DISABLE_VEHICLE_FIRST_PERSON_CAM_THIS_FRAME
0xCE7A90B160F75046,SET_CINEMATIC_MODE_ACTIVE
0x9A92C06ACBAF9731,_TRIGGER_MISSION_FAILED_CAM
0x3A52C59FFB2DEED8,SET_CLOCK_TIME
0x4D1A590C92BF377E,PAUSE_CLOCK
0x568D998A9FF96774,_PAUSE_CLOCK_THIS_FRAME
0x0184750AE88D0B1D,ADVANCE_CLOCK_TIME_TO
0xAB7C251C7701D336,ADD_TO_CLOCK_TIME
0xC82CF208C2B19199,GET_CLOCK_HOURS
0x4E162231B823DBBF,GET_CLOCK_MINUTES
0xB6101ABE62B5F080,GET_CLOCK_SECONDS
0x04EEDB3848DACF68,_SET_MILLISECONDS_PER_GAME_MINUTE
0x78FD8BE812E436B2,_GET_SECONDS_SINCE_BASE_YEAR
0x02AD3092562941E2,SET_CLOCK_DATE
0x4DD02D4C7FB30076,GET_CLOCK_DAY_OF_WEEK
0xDF2FD796C54480A5,GET_CLOCK_DAY_OF_MONTH
0x2D44E8FC79EAB1AC,GET_CLOCK_MONTH
0xE136DCA28C4A48BA,GET_CLOCK_YEAR
0xE4CB8D126501EC52,GET_MILLISECONDS_PER_GAME_MINUTE
0x90338AD4A784E455,GET_POSIX_TIME
0x6C5E5D48E48B4C65,COMPENDIUM_GET_SHORT_DESCRIPTION_FROM_PED
0xF58A0C0E086E8E36,COMPENDIUM_GET_NUM_ENTRIES_IN_SUBCATEGORY
0x5CEB63B2E3D9895F,COMPENDIUM_GET_ENTRY_BY_INDEX_IN_SUBCATEGORY
0x2BF30D9D4D680112,COMPENDIUM_GET_SUBCATEGORY_TOAST_APP_ID
0x729D54121A5E9E20,COMPENDIUM_GET_MAP_DISCOVERABLE_FROM_STAT_ITEM
0x725D52F26A5E9E10,COMPENDIUM_ANIMAL_OBSERVED_BY_STAT_NAME
0x67F35C7C9F2BDCFE,COMPENDIUM_ANIMAL_SET_DISCOVERED
0x4E4ACAE1C671A9DA,COMPENDIUM_ANIMAL_GET_SAMPLE_INVENTORY_ITEM
0x6FC24625E4FCAC27,COMPENDIUM_ANIMAL_HAS_SAMPLE
0xBCF569FC32FFF456,COMPENDIUM_ANIMAL_HAS_STAMP
0x5E50C67EB60951E6,COMPENDIUM_GET_SUBCATEGORY_SAMPLE_TOAST_TITLE
0x82BFB5B367957699,COMPENDIUM_GET_SUBCATEGORY_SAMPLE_TOAST_DESC_PROGRESS
0x59D4D68CDB82427C,COMPENDIUM_GET_SUBCATEGORY_SAMPLE_TOAST_DESC_COMPLETE
0x725D52F21A5E9E00,COMPENDIUM_FISH_CAUGHT
0x725D52F21A5E9E81,COMPENDIUM_FISH_GET_LURE_SUITABILITY_BY_STAT_ITEM
0x725D52F21A5E9E03,COMPENDIUM_GANG_CAMP_FOUND
